# name	disposition	source_sha256
# source-revision: f1c8dbdf387595ae5505e8ef0090c05fd595aa70
# Pinned exact runnable/porcelain/deferred disposition per Charb port.
# Regenerated by scripts/gen-charb-transcripts.py — do not hand-edit casually.
replay-registry	runnable	70dec2e85b4ea979a98ea9e92ebb59359e24f54399a63286e77aa00d961e3a8f
replay-root-switching	porcelain	ad0dc1e29406506b30f885ac98670220ad44bd9857c06e22c08cab5fdcb016eb
revocation-recovery	runnable	25035c244435a6da1598f9404a1d69842e38024a7d2d9de8c4cb0790633235a5
runner-registry	porcelain	eb0e70dbd246bfd15aebe4b4f8eced69748ce62e96f824e24829c0b93f239cf2
runner-selection	porcelain	c95b39bd96899f614874abb75e39789de57a247602bf11ae2a7e67ab6c127059
stake-registry	deferred	2c562e3942702860d7345664d09d9f460cf578532295da2ee2806487cdb54b6d
strict-assumptions-governance	porcelain	096e57ed7b1a714f1971ea5f712c69442e470cfda2c37bc0cf7efa52f96b6926
strict-governance-publish-integration	porcelain	42a9d92f195bd4cbe9f8aa2da9b3c06779e35a530a8151fbb5231c690c35aa8a
strict-governance-recovery-negative	porcelain	751924b9bdc4541de492e915bc49a2ae0e5940ebf7078beeaaccbe2b8d5ca20f
tamper-regression	runnable	9afd5cdb4ef5bcacd985260c1e19285eca06033ee88b019b68f8b8a421f3eca8
tx-state-phase2	porcelain	b7c433498cc48b0bcfc907432f5a4ca886e42ce72a26915a9532c749552f8efb
verbose-audit-replay	runnable	d85f90140c508f1434dba571e4b835a55ef70b269bbb1652f2967de5d1fbc388
verify-diagnostics	runnable	8981ca1aeb7a1c7d542f329319dc6c112c093cda01254fd5209639e6f121d9c5
workflow-registry	porcelain	91acddefcdbb2e66f4a481b1b0ffd0a3138e44827a70851f3db60dce4271b321
